key,pt-br,en
offscreenrenderingexample.capturecamerastotexturecanvas_example_panel_button_1_text,Capture offscreen scene,
offscreenrenderingexample._gui_gamemenuexamplecanvas_centerpanel_button_text,START,
positionparts 1.hud_configshud_bg_audioconfigs_ambience_name,Ambience,
positionparts 1.hud_configshud_bg_audioconfigs_master_name,Master,
positionparts 1.hud_configshud_bg_audioconfigs_music_name,Music,
positionparts 1.hud_configshud_bg_audioconfigs_sfx_name,SFX,
positionparts 1.hud_configshud_bg_audioconfigs_voice_name,Voice,
positionparts 1.hud_configshud_bg_configtabs_audio_text_tmp_,Audio,
positionparts 1.hud_configshud_bg_configtabs_video_text_tmp_,Video,
positionparts 1.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_antialiasing_dropdown_label,Option A,
positionparts 1.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_antialiasing_dropdown_template_viewport_content_item_item_label,Option A,
positionparts 1.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_antialiasing_name,Anti Aliasing,
positionparts 1.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_fpslimit_dropdown_label,Option A,
positionparts 1.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_fpslimit_dropdown_template_viewport_content_item_item_label,Option A,
positionparts 1.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_fpslimit_name,FPS Limit,
positionparts 1.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_quality_dropdown_label,Option A,
positionparts 1.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_quality_dropdown_template_viewport_content_item_item_label,Option A,
positionparts 1.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_quality_name,Quality,
positionparts 1.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_resolution_dropdown_label,Option A,
positionparts 1.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_resolution_dropdown_template_viewport_content_item_item_label,Option A,
positionparts 1.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_resolution_name,Resolution,
positionparts 1.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_setscreenmode_dropdown_label,Option A,
positionparts 1.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_setscreenmode_dropdown_template_viewport_content_item_item_label,Option A,
positionparts 1.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_setscreenmode_name,Screen Mode,
positionparts 1.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_shadowquality_dropdown_label,Option A,
positionparts 1.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_shadowquality_dropdown_template_viewport_content_item_item_label,Option A,
positionparts 1.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_shadowquality_name,Shadow Quality,
positionparts 1.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_texturequality_dropdown_label,Option A,
positionparts 1.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_texturequality_dropdown_template_viewport_content_item_item_label,Option A,
positionparts 1.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_texturequality_name,Texture Quality,
positionparts 1.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_vsync_name,VSync,
positionparts 1.hud_dialoguebox_box_name,New Text,
positionparts 1.hud_dialoguebox_box_text,New Text,
positionparts 1.hud_dialoguebox_box_tutorialbutton_text_tmp_,Tutorial,
positionparts 1.hud_menusarea_sidemenu_btnjogaroffline_text_tmp_,Jogar offline,
positionparts 1.hud_menusarea_sidemenu_btnjogar_text_tmp_,Criar Lobby,
positionparts 1.hud_menusarea_sidemenu_cancelsearch_text_tmp_,Cancel,
positionparts 1.hud_menusarea_sidemenu_playerinfos_playernick,New Text,
positionparts 1.hud_menusarea_sidemenu_playerinfos_pontuation,New Text,
positionparts 1.hud_menusarea_sidemenu_quickplay_searchinfo_playerscount,Players,
positionparts 1.hud_menusarea_sidemenu_quickplay_searchinfo_status,Status,
positionparts 1.hud_menusarea_sidemenu_quickplay_searchinfo_timer,00:00,
positionparts 1.hud_menusarea_sidemenu_quickplay_text_tmp_,Partida Rankeada,
positionparts 1.hud_panel_btncam_text_tmp_,Alterar visão,
positionparts 1.hud_panel_btnclient_text_tmp_,Client,
positionparts 1.hud_panel_btnsever_text_tmp_,Server,
positionparts 1.hud_panel_imggametype_toggles_toggle1_label,Tutorial,
positionparts 1.hud_panel_imggametype_toggles_toggle2_label,Normal,
positionparts 1.hud_panel_imggametype_toggles_toggle3_label,Hard,
positionparts 1.hud_rankinghud_bg_scroll_view_viewport_content_rankingcontentprefab_nick,ASDAS,
positionparts 1.hud_rankinghud_bg_scroll_view_viewport_content_rankingcontentprefab_pontuation,1,
positionparts 1.hud_rankinghud_bg_scroll_view_viewport_content_rankingcontentprefab_position,0,
positionparts 1.hud_steam_viewer_bottonbuttons_horizontal_group_lobby_list_lobbieslist_label,Lobbies,
positionparts 1.hud_steam_viewer_bottonbuttons_horizontal_group_lobby_list_refreshlobbies_background_label,Refresh Lobbies,
positionparts 1.hud_steam_viewer_controls_lobbycreationroot_createlobby_background_label,Create Lobby,
positionparts 1.hud_steam_viewer_controls_lobbycreationroot_lobbyname_label,Lobby Name,
positionparts 1.hud_steam_viewer_controls_lobbycreationroot_lobbyname_lobbyname_placeholder,Lobby Name,
positionparts 1.hud_steam_viewer_title_titlelabel,Loobies,
positionparts 1.hud_text_tmp_,Posicione suas peças como desejar,
positionparts 1.loadingscreenmanager_loadingcanvas_loadingpanel_loadingbarbackground_statustext,asdasdas,
positionparts 1.loadingscreenmanager_loadingcanvas_loadingpanel_loadingtext,Carregando...,
positionparts 1.pieces_es_tooltip_text_tmp_,"Especialista
Desarma as bombas inimigas",
positionparts 1.pieces_gu_tooltip_text_tmp_,"Guerreiro
Peça com valor 3",
positionparts 1.pieces_la_tooltip_text_tmp_,"Alquimista
Peça de valor 7",
positionparts 1.pieces_re_tooltip_text_tmp_,"Rei
Peça mais forte de valor 9",
positionparts 1.pieces_so_1_tooltip_text_tmp_,"Soldado
Ande quantas casa quiser na vertical ou na horizontal",
positionparts 1.pieces_so_tooltip_text_tmp_,"Soldado
Ande quantas casa quiser na vertical ou na horizontal",
positionparts 1.pieces_sp_tooltip_text_tmp_,"Espião
O espião tem valor 1 mas consegue derrotar o rei inimigo",
positionparts 1.pieces_x1_1_tooltip_text_tmp_,"Soldado
Ande quantas casa quiser na vertical ou na horizontal",
positionparts 1.pieces_x2_1_tooltip_text_tmp_,"Especialista
Desarma as bombas inimigas",
positionparts 1.pieces_x2_tooltip_text_tmp_,"Especialista
Desarma as bombas inimigas",
positionparts 1.pieces_x3_tooltip_text_tmp_,"Guerreiro
Peça com valor 3",
positionparts 1.pieces_x4_tooltip_text_tmp_,"Barbaro
Peça de valor 4",
positionparts 1.pieces_x5_tooltip_text_tmp_,"Comandante
Peça de valor 5",
positionparts 1.pieces_x6_tooltip_text_tmp_,"Espadachin
Peça de valor 6",
positionparts 1.pieces_x7_tooltip_text_tmp_,"Alquimista
Peça de valor 7",
positionparts 1.pieces_x8_tooltip_text_tmp_,"Capitão
Peça de valor 8",
positionparts 1.pieces_xb_1_tooltip_text_tmp_,"Bomba
Mata qualquer peça menos o especialista",
positionparts 1.pieces_xb_2_tooltip_text_tmp_,"Bomba
Mata qualquer peça menos o especialista",
positionparts 1.pieces_xb_tooltip_text_tmp_,"Bomba
Mata qualquer peça menos o especialista",
positionparts 1.pieces_xf_tooltip_text_tmp_,"Tesouro
Se o inimigo encontrar seu tesouro você perde",
positionparts 1.pieces_xs_tooltip_text_tmp_,"Espião
O espião tem valor 1 mas consegue derrotar o rei inimigo",
positionparts.hud_cancelar_cancelar,CANCELAR,
positionparts.hud_cancelar_status,Status,
positionparts.hud_cancelar_timer,00:00,
positionparts.hud_configshud_bg_audioconfigs_ambience_name,Ambience,
positionparts.hud_configshud_bg_audioconfigs_master_name,Master,
positionparts.hud_configshud_bg_audioconfigs_music_name,Music,
positionparts.hud_configshud_bg_audioconfigs_sfx_name,SFX,
positionparts.hud_configshud_bg_audioconfigs_voice_name,Voice,
positionparts.hud_configshud_bg_configtabs_audio_text_tmp_,Audio,
positionparts.hud_configshud_bg_configtabs_video_text_tmp_,Video,
positionparts.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_antialiasing_dropdown_label,Option A,
positionparts.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_antialiasing_dropdown_template_viewport_content_item_item_label,Option A,
positionparts.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_antialiasing_name,Anti Aliasing,
positionparts.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_fpslimit_dropdown_label,Option A,
positionparts.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_fpslimit_dropdown_template_viewport_content_item_item_label,Option A,
positionparts.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_fpslimit_name,FPS Limit,
positionparts.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_quality_dropdown_label,Option A,
positionparts.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_quality_dropdown_template_viewport_content_item_item_label,Option A,
positionparts.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_quality_name,Quality,
positionparts.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_resolution_dropdown_label,Option A,
positionparts.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_resolution_dropdown_template_viewport_content_item_item_label,Option A,
positionparts.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_resolution_name,Resolution,
positionparts.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_setscreenmode_dropdown_label,Option A,
positionparts.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_setscreenmode_dropdown_template_viewport_content_item_item_label,Option A,
positionparts.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_setscreenmode_name,Screen Mode,
positionparts.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_shadowquality_dropdown_label,Option A,
positionparts.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_shadowquality_dropdown_template_viewport_content_item_item_label,Option A,
positionparts.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_shadowquality_name,Shadow Quality,
positionparts.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_texturequality_dropdown_label,Option A,
positionparts.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_texturequality_dropdown_template_viewport_content_item_item_label,Option A,
positionparts.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_texturequality_name,Texture Quality,
positionparts.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_vsync_name,VSync,
positionparts.hud_dialoguebox_box_name,New Text,
positionparts.hud_dialoguebox_box_text,New Text,
positionparts.hud_dialoguebox_box_tutorialbutton_text_tmp_,Tutorial,
positionparts.hud_imggametype_toggles_toggle1_label,Tutorial,
positionparts.hud_imggametype_toggles_toggle2_label,Normal,
positionparts.hud_imggametype_toggles_toggle3_label,Hard,
positionparts.hud_menusarea_sidemenu_btnjogaroffline_text_tmp_,Jogar offline,
positionparts.hud_menusarea_sidemenu_btnjogar_text_tmp_,Criar Lobby,
positionparts.hud_menusarea_sidemenu_cancelsearch_text_tmp_,Cancel,
positionparts.hud_menusarea_sidemenu_quickplay_searchinfo_playerscount,Players,
positionparts.hud_menusarea_sidemenu_quickplay_text_tmp_,Partida Rankeada,
positionparts.hud_playerinfos_playerinfos_playernick,New Text,
positionparts.hud_playerinfos_playerinfos_pontuation,New Text,
positionparts.hud_playmodespanel_back_text_tmp_,VOLTAR,
positionparts.hud_playmodespanel_bg_lobby_text_tmp_,CRIAR LOBBY,
positionparts.hud_playmodespanel_bg_offline_text_tmp_,PARTIDA OFFLINE,
positionparts.hud_playmodespanel_bg_ranked_text_tmp_,PARTIDA RANKEADA,
positionparts.hud_play_jogar,JOGAR,
positionparts.hud_rankinghud_bg_scroll_view_viewport_content_rankingcontentprefab_nick,ASDAS,
positionparts.hud_rankinghud_bg_scroll_view_viewport_content_rankingcontentprefab_pontuation,1,
positionparts.hud_rankinghud_bg_scroll_view_viewport_content_rankingcontentprefab_position,0,
positionparts.hud_steam_viewer_bottonbuttons_horizontal_group_lobby_list_close_label,Fechar,
positionparts.hud_steam_viewer_bottonbuttons_horizontal_group_lobby_list_lobbieslist_label,SALAS,
positionparts.hud_steam_viewer_bottonbuttons_horizontal_group_lobby_list_refreshlobbies_background_label,Refresh Lobbies,
positionparts.hud_steam_viewer_controls_lobbycreationroot_createlobby_background_label,Create Lobby,
positionparts.hud_steam_viewer_controls_lobbycreationroot_lobbyname_label,Lobby Name,
positionparts.hud_steam_viewer_controls_lobbycreationroot_lobbyname_lobbyname_placeholder,Lobby Name,
positionparts.hud_steam_viewer_title_titlelabel,CRIAR LOBBY,
positionparts.loadingscreenmanager_loadingcanvas_loadingpanel_loadingbarbackground_statustext,asdasdas,
positionparts.loadingscreenmanager_loadingcanvas_loadingpanel_loadingtext,Carregando...,
positionparts.pieces_ba_tooltip_text_tmp_,"Barbaro
Peça de valor 4",
positionparts.pieces_bo_1_tooltip_text_tmp_,"Bomba
Mata qualquer peça menos o especialista",
positionparts.pieces_bo_2_tooltip_text_tmp_,"Bomba
Mata qualquer peça menos o especialista",
positionparts.pieces_bo_tooltip_text_tmp_,"Bomba
Mata qualquer peça menos o especialista",
positionparts.pieces_ca_tooltip_text_tmp_,"Capitão
Peça de valor 8",
positionparts.pieces_co_tooltip_text_tmp_,"Comandante
Peça de valor 5",
positionparts.pieces_es_1_tooltip_text_tmp_,"Especialista
Desarma as bombas inimigas",
positionparts.pieces_es_tooltip_text_tmp_,"Especialista
Desarma as bombas inimigas",
positionparts.pieces_gu_tooltip_text_tmp_,"Guerreiro
Peça com valor 3",
positionparts.pieces_la_tooltip_text_tmp_,"Alquimista
Peça de valor 7",
positionparts.pieces_re_tooltip_text_tmp_,"Rei
Peça mais forte de valor 9",
positionparts.pieces_sm_tooltip_text_tmp_,"Espadachin
Peça de valor 6",
positionparts.pieces_so_1_tooltip_text_tmp_,"Soldado
Ande quantas casa quiser na vertical ou na horizontal",
positionparts.pieces_so_tooltip_text_tmp_,"Soldado
Ande quantas casa quiser na vertical ou na horizontal",
positionparts.pieces_sp_tooltip_text_tmp_,"Espião
O espião tem valor 1 mas consegue derrotar o rei inimigo",
positionparts.pieces_te_tooltip_text_tmp_,"Tesouro
Se o inimigo encontrar seu tesouro você perde",
positionparts.pieces_x1_1_tooltip_text_tmp_,"Soldado
Ande quantas casa quiser na vertical ou na horizontal",
positionparts.pieces_x2_1_tooltip_text_tmp_,"Especialista
Desarma as bombas inimigas",
positionparts.pieces_x2_tooltip_text_tmp_,"Especialista
Desarma as bombas inimigas",
positionparts.pieces_x3_tooltip_text_tmp_,"Guerreiro
Peça com valor 3",
positionparts.pieces_x4_tooltip_text_tmp_,"Barbaro
Peça de valor 4",
positionparts.pieces_x5_tooltip_text_tmp_,"Comandante
Peça de valor 5",
positionparts.pieces_x6_tooltip_text_tmp_,"Espadachin
Peça de valor 6",
positionparts.pieces_x7_tooltip_text_tmp_,"Alquimista
Peça de valor 7",
positionparts.pieces_x8_tooltip_text_tmp_,"Capitão
Peça de valor 8",
positionparts.pieces_xb_1_tooltip_text_tmp_,"Bomba
Mata qualquer peça menos o especialista",
positionparts.pieces_xb_2_tooltip_text_tmp_,"Bomba
Mata qualquer peça menos o especialista",
positionparts.pieces_xb_tooltip_text_tmp_,"Bomba
Mata qualquer peça menos o especialista",
positionparts.pieces_xf_tooltip_text_tmp_,"Tesouro
Se o inimigo encontrar seu tesouro você perde",
positionparts.pieces_xs_tooltip_text_tmp_,"Espião
O espião tem valor 1 mas consegue derrotar o rei inimigo",
positiontutorial.hud_bg_menu_play_text_tmp_,"Play
",
positiontutorial.hud_btnjogaroffline_text_tmp_,Jogar,
positiontutorial.hud_configshud_bg_audioconfigs_ambience_name,Ambience,
positiontutorial.hud_configshud_bg_audioconfigs_master_name,Master,
positiontutorial.hud_configshud_bg_audioconfigs_music_name,Music,
positiontutorial.hud_configshud_bg_audioconfigs_sfx_name,SFX,
positiontutorial.hud_configshud_bg_audioconfigs_voice_name,Voice,
positiontutorial.hud_configshud_bg_configtabs_audio_text_tmp_,Audio,
positiontutorial.hud_configshud_bg_configtabs_video_text_tmp_,Video,
positiontutorial.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_antialiasing_dropdown_label,Option A,
positiontutorial.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_antialiasing_dropdown_template_viewport_content_item_item_label,Option A,
positiontutorial.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_antialiasing_name,Anti Aliasing,
positiontutorial.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_fpslimit_dropdown_label,Option A,
positiontutorial.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_fpslimit_dropdown_template_viewport_content_item_item_label,Option A,
positiontutorial.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_fpslimit_name,FPS Limit,
positiontutorial.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_quality_dropdown_label,Option A,
positiontutorial.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_quality_dropdown_template_viewport_content_item_item_label,Option A,
positiontutorial.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_quality_name,Quality,
positiontutorial.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_resolution_dropdown_label,Option A,
positiontutorial.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_resolution_dropdown_template_viewport_content_item_item_label,Option A,
positiontutorial.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_resolution_name,Resolution,
positiontutorial.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_setscreenmode_dropdown_label,Option A,
positiontutorial.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_setscreenmode_dropdown_template_viewport_content_item_item_label,Option A,
positiontutorial.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_setscreenmode_name,Screen Mode,
positiontutorial.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_shadowquality_dropdown_label,Option A,
positiontutorial.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_shadowquality_dropdown_template_viewport_content_item_item_label,Option A,
positiontutorial.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_shadowquality_name,Shadow Quality,
positiontutorial.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_texturequality_dropdown_label,Option A,
positiontutorial.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_texturequality_dropdown_template_viewport_content_item_item_label,Option A,
positiontutorial.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_texturequality_name,Texture Quality,
positiontutorial.hud_configshud_bg_videoconfigs_scroll_view_viewport_content_vsync_name,VSync,
positiontutorial.hud_dialoguebox_box_name,New Text,
positiontutorial.hud_dialoguebox_box_text,New Text,
positiontutorial.hud_load_text_tmp_,Carregando,
positiontutorial.hud_panel_imggametype_toggles_toggle1_label,Tutorial,
positiontutorial.hud_panel_imggametype_toggles_toggle2_label,Normal,
positiontutorial.hud_panel_imggametype_toggles_toggle3_label,Hard,
positiontutorial.hud_rankinghud_bg_scroll_view_viewport_content_rankingcontentprefab_nick,ASDAS,
positiontutorial.hud_rankinghud_bg_scroll_view_viewport_content_rankingcontentprefab_pontuation,1,
positiontutorial.hud_rankinghud_bg_scroll_view_viewport_content_rankingcontentprefab_position,0,
positiontutorial.hud_steam_viewer_bottonbuttons_horizontal_group_lobby_list_lobbieslist_label,Lobbies,
positiontutorial.hud_steam_viewer_bottonbuttons_horizontal_group_lobby_list_refreshlobbies_background_label,Refresh Lobbies,
positiontutorial.hud_steam_viewer_controls_lobbycreationroot_createlobby_background_label,Create Lobby,
positiontutorial.hud_steam_viewer_controls_lobbycreationroot_lobbyname_label,Lobby Name,
positiontutorial.hud_steam_viewer_controls_lobbycreationroot_lobbyname_lobbyname_placeholder,Lobby Name,
positiontutorial.hud_steam_viewer_title_titlelabel,Loobies,
positiontutorial.pieces_re_tooltip_text_tmp_,"Rei
Peça mais forte de valor 9",
positiontutorial.pieces_so_1_tooltip_text_tmp_,"Soldado
Ande quantas casa quiser na vertical ou na horizontal",
positiontutorial.pieces_so_tooltip_text_tmp_,"Soldado
Ande quantas casa quiser na vertical ou na horizontal",
positiontutorial.pieces_x1_1_tooltip_text_tmp_,"Soldado
Ande quantas casa quiser na vertical ou na horizontal",
positiontutorial.pieces_x2_1_tooltip_text_tmp_,"Especialista
Desarma as bombas inimigas",
positiontutorial.pieces_x2_tooltip_text_tmp_,"Especialista
Desarma as bombas inimigas",
positiontutorial.pieces_x3_tooltip_text_tmp_,"Guerreiro
Peça com valor 3",
positiontutorial.pieces_x4_tooltip_text_tmp_,"Barbaro
Peça de valor 4",
positiontutorial.pieces_x5_tooltip_text_tmp_,"Comandante
Peça de valor 5",
positiontutorial.pieces_x6_tooltip_text_tmp_,"Espadachin
Peça de valor 6",
positiontutorial.pieces_x7_tooltip_text_tmp_,"Alquimista
Peça de valor 7",
positiontutorial.pieces_x8_tooltip_text_tmp_,"Capitão
Peça de valor 8",
positiontutorial.pieces_xb_1_tooltip_text_tmp_,"Bomba
Mata qualquer peça menos o especialista",
